Original Name
Mesembria 
Anchialus
Tonzi
Apollonia
Peronticum
Phinopolis
Byzantium
Selymbria
Perinthos
Proeconnisus
Cylla
Callipolis
Methymna
Antissa
Dardanum Illium
Aesipus
Antandrus
Traianopolis
Prepenisus 
Adramyttium
Caicus
Dadales
Peperre
Hierocesarea
Myrina
Nacrala
Pactolus
Iuliogordus
Sypilus
Hermus
Daguta
Nacolia
Amorium
Lysias
Gamausa
Druzon
Eumenia
Melitara
Juliopolis
Bleandrus
Pelte
Philomelium
Laodicia
Philadelphia
Gazena
Neapolis
Loryma
Aphrodisias Heraclea
Themisonium
Trarium
Dedacana 
Hippius
Claudiopolis
Tion
Amastris
Cronina
Calpus
Diopolis
Climax Castellum
Theuthramia
Zephyrium
Callistrata
Zagria
Carambis Extrema
plegra
Armene
Stephane Vicus
Sacora
Gelaca
Amisus
Eusene
Halis
Titua
Tauium
Saralus
Rastia
Dudusa
Taurus Mons
Perta
Tetradium
Oenanda
Carba
Cydna
Bubon
Podalea
Nysa
Choma
Balbura
Sagalassus
Condicia
Rhodia
Trebenda
Phellos
Octapolis
Sidyma
Pinara
Carya
Temesus
Xanthus
Patara
Andriace
Limyra
Olympus
Apyrae
Hiera Prom
Phaselis
Macistus
Menedemium
Talbonda
Soli
Lapithus
Ceraunia
Macaria
Aphrodisium
Acheorum Littus
Carpasia
Amathus
Curium
Pathos Vetus
Arsinoe
Mopsion
Iotape
Nephelis
Ninica
Domitiopolis
Anemuriu
Arsinoe
Celenderis
Calycadrius
Flauiopolis
Corycus
Cilicia
Tarsus
Issus
Paltos
Gabala
Laodicia
Posidium
Orontes
Rhosus
Myriandrus
pinara
deba 
Germanicia
Catamana
Cholmadara
Ariseria
Singa
Arudis
Porsica
Bithias
Edesa
Arsamosata
Sianana
Barzalo
Claudia
Metita
Corne
Soita
Sinis Colonia
Legerda
Dascuta
Balisbiga
Babila
Tarina
Cachura
Codana
Sana
Zorgia
Elegia
Athua
Moschici
Phasis
